_dataobs_,Pool,Horses,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
18038,None,N,Scottsdale,2404,5,1970,5,3,2,2,Navajo,Mohave,Saguaro High,48,48,7374,Detached,Cash
18050,Private,N,Chandler,1618,3,1982,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,8529,Detached,Conventional
18053,Private,N,Tempe,1478,3,1965,3,2,1,1,Meyer,Connolly,McClintock,3,213,7318,Detached,Cash to Loan
18056,Community,N,Chandler,1688,3,1990,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4648,Detached,Conventional
18065,Private,Y,Tempe,3196,5,1977,4,4,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,3,101966,Detached,Carryback
18067,Private,N,Scottsdale,3964,5,1992,5,3,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain,48,48,20595,Detached,Conventional
18068,Private,Y,Chandler,4378,7,2014,5,3.5,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,50715,Detached,Conventional
18071,Private,N,Scottsdale,4053,5,2001,4,3.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,16350,Detached,Conventional
18076,Private,N,Fountain Hills,2789,4,2000,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills,Fountain Hills,98,98,13740,Detached,Cash
18080,Private,N,Scottsdale,2456,4,1980,4,2,1,1,Cochise,Cocopah,Chaparral High,48,48,9676,Detached,Conventional
18093,None,N,Chandler,3615,7,2004,4,3.5,2,2,Audrey and Robert Ry,Willie & Coy Payne J,Basha High,80,80,10000,Detached,Conventional
18094,Private,N,Scottsdale,2156,3,1993,3,2.5,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,4496,Detached,Conventional
18096,Private,N,Chandler,2241,4,1994,4,2.5,2,23,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,5976,Detached,Conventional
18099,Private,N,Chandler,2149,4,2003,4,2,1,1,Haley Elementary,Santan Junior High,Perry,80,80,8255,Detached,Conventional
18100,None,N,Fountain Hills,1784,3,1994,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,19023,Detached,Conventional
18102,Private,N,Chandler,2142,4,1990,4,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,8507,Detached,VA
18104,None,N,Fountain Hills,1685,3,1989,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,10036,Detached,Other
18121,Private,N,Scottsdale,5569,5,2006,4,5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,54482,Detached,Conventional
18122,Private,N,Scottsdale,3544,5,1971,4,3.5,1,1,Sequoya,Cocopah,Chaparral High,48,48,45126,Detached,Cash
18124,Private,N,Scottsdale,2907,4,1988,4,2.5,1,1,Sonoran Sky Scotts,Desert Shadows,Horizon,69,69,29326,Detached,Conventional
18125,Private,N,Tempe,3716,5,1983,4,3,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,3,17394,Detached,Conventional
18129,Private,N,Chandler,3606,4,2002,4,3.5,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha High,80,80,14062,Detached,Conventional
