_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
17966,Private,N,610000,Chandler,3705,6,1997,5,3,2,2,Kyrene de las Manita,Pueblo,Mountain Pointe,28,213,12413,Detached,Conventional
17967,Private,N,595000,Chandler,3460,5,1998,5,3.5,2,2,Sanborn,Willis,Perry,80,80,14362,Detached,VA
17968,None,N,595000,Tempe,2535,4,1999,3,2.5,1,1,C. I. Waggoner,Kyrene Middle,Mountain Pointe,28,213,7362,Detached,Conventional
17969,Community,N,500000,Scottsdale,2001,3,2000,2,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7716,Detached,Other
17970,Community,N,390000,Scottsdale,1471,3,1990,3,2,1,1,Cheyene Elementary,Mountainside,Desert Mountain High,48,48,3200,Detached,Conventional
17971,Community,N,385000,Chandler,2204,4,1985,4,2,1,1,Pomerene Elementary,Hendrix,Dobson,4,4,7471,Detached,Other
17972,Community,N,377620,Chandler,1892,3,2002,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,6939,Detached,Other
17973,Community,N,326500,Chandler,1706,3,1997,2,2,1,1,Adult,Adult,Adult,80,80,7357,Detached,Conventional
17974,Private,N,1425000,Scottsdale,4374,4,1959,4,3,1,1,Griffith,Orangedale,Camelback High sch,31,210,30362,Detached,Conventional
17975,Both,N,995000,Scottsdale,2575,3,1993,3,3,1,1,Cochise,Cocopah,Chaparral High,48,48,8775,Detached,Conventional
17976,Private,N,937500,Scottsdale,3523,5,2001,4,4,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,43262,Detached,Cash
17977,Private,N,760000,Scottsdale,2929,4,1989,4,2.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain,48,48,10120,Detached,Conventional
17978,Private,N,736000,Scottsdale,3228,5,1999,4,3,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,12381,Detached,Other
17979,Private,N,715000,Scottsdale,2860,5,1985,4,2.5,2,2,Laguna,Mountainside,Desert Mountain High,48,48,10350,Detached,Cash
17980,Private,N,656000,Scottsdale,2851,4,2000,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,9736,Detached,Conventional
17981,Private,N,615000,Chandler,3527,7,2006,5,4,2,2,Audrey and Robert Ry,Willie & Coy Payne J,Perry,80,80,8132,Detached,Conventional
17982,Private,N,615000,Scottsdale,2817,5,1990,4,2.5,2,2,Desert Springs,Desert Shadows Scott,Horizon School,69,69,8561,Detached,Conventional
17983,Both,N,599000,Scottsdale,1963,4,1997,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,6046,Detached,Conventional
17984,None,N,570000,Scottsdale,1992,4,1975,3,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,10421,Detached,Cash
17985,Community,N,565000,Chandler,2471,6,1990,4,2.5,2,2,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,6360,Detached,Cash
17986,Private,N,550000,Chandler,2198,4,2012,3,2.5,1,1,Haley Elementary,San Tan,Perry,80,80,11348,Detached,Conventional
17989,Both,N,476000,Scottsdale,1619,3,1997,2,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7310,Detached,Cash
17990,Private,N,418000,Chandler,1955,4,1998,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,6896,Detached,Cash
17992,None,N,385000,Chandler,1646,3,1999,3,2,1,1,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,8153,Detached,Conventional
17993,None,N,372500,Chandler,1738,3,1997,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,8019,Detached,Conventional
17994,Community,N,310000,Chandler,1166,2,1985,2,2,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,5990,Detached,Conventional
17995,Private,N,305000,Chandler,1415,4,1960,3,2,1,1,Hartford Sylvia Enci,John M Andersen Jr H,Chandler High,80,80,7980,Detached,FHA
17996,Private,N,274350,Tempe,1308,3,1973,3,2,1,1,Aguilar,Fees,Marcos De Niza,3,3,7009,Detached,Cash
17997,Private,N,1487500,Fountain Hills,4122,4,2009,4,4.5,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,23302,Detached,Conventional
17998,Private,N,1325000,Scottsdale,6198,7,2007,4,6,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,32639,Detached,Conventional
17999,Private,N,1250000,Scottsdale,3978,5,2003,4,4.5,1,1,Lone Mountain,Sonoran Trails,Cactus Shadows,93,93,46631,Detached,Conventional
18000,Private,N,1235000,Chandler,4080,6,1998,6,3.5,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,36678,Detached,Other
18001,Both,N,1200000,Scottsdale,3580,5,2005,4,3.5,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,9335,Detached,Other
