_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
5670,Community,N,604500,Scottsdale,1768,3,1985,2,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,6555,Detached,Conventional
5671,None,N,596000,Tempe,2245,4,1994,3,2.5,2,2,Kyrene del Norte,Fees,Marcos De Niza,28,213,7444,Detached,Conventional
5673,Private,N,559900,Scottsdale,1489,2,1987,2,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,10142,Detached,Cash
5674,None,N,557000,Scottsdale,1306,3,1986,2,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,4943,Detached,Conventional
5677,None,N,540000,Tempe,2090,6,1997,4,2,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,8063,Detached,Conventional
5680,Community,N,521000,Chandler,1512,2,2017,2,2.5,1,1,Haley Elementary,Santan Junior High,Perry,80,80,4480,Detached,Conventional
5681,None,N,520000,Chandler,2242,5,2000,5,3,2,2,Rudy G. Bologna,Willis,Perry,80,80,7200,Detached,Conventional
5682,Private,N,480000,Chandler,1675,3,1995,3,2,1,1,Rudy G. Bologna,John M Andersen Jr H,Chandler High,4,4,6896,Detached,Conventional
5683,Private,N,480000,Tempe,1288,3,1971,3,2,1,1,Roosevelt,Powell,Dobson,4,4,7514,Detached,Conventional
5684,Private,N,471000,Chandler,1579,3,1979,3,2,2,2,Pomeroy,Summit Academy,Dobson,4,4,6839,Detached,Conventional
5685,Private,N,470000,Chandler,1688,3,1993,3,2,2,1,Auxier Elementary,John M Andersen Jr H,Hamilton,80,80,5323,Detached,Conventional
5686,Private,N,458000,Chandler,1436,3,1979,3,2,1,1,Pomeroy,Summit Academy,Dobson,4,4,7488,Detached,Conventional
5687,Community,N,425000,Chandler,1290,2,1999,2,2,1,1,Adult,Adult,Adult,80,80,7144,Detached,Conventional
5688,None,N,405000,Chandler,1661,4,1999,3,3,2,2,Islands,Mesquite Jr High,Mesquite High,41,41,3566,Detached,Conventional
5689,Community,N,375000,Tempe,1461,3,1998,3,2.5,2,2,Wood,Fees,Marcos De Niza,3,213,2160,Detached,Conventional
5690,Both,N,1320000,Scottsdale,2792,4,2007,3,3.5,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,9752,Detached,Cash
5691,Both,N,1290000,Scottsdale,3809,4,2005,3,4,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,18040,Detached,Cash
5693,Private,N,1195000,Chandler,4607,8,2004,5,3.5,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,18096,Detached,Conventional
5694,Private,N,1126779,Scottsdale,3705,7,1998,5,3,2,2,Grayhawk,Mountain Trail,Pinnacle,69,69,9536,Detached,Cash
5695,Community,N,1050000,Scottsdale,2712,5,1998,4,3,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,7500,Detached,Conventional
5696,Private,N,1005000,Scottsdale,2781,4,1996,4,3,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9474,Detached,Conventional
5697,Private,N,930000,Scottsdale,2262,3,1972,3,2.5,1,1,Sandpiper,Desert Shadows,Horizon,69,69,11424,Detached,Conventional
5698,Private,N,915000,Scottsdale,2909,5,1987,4,2.5,2,2,North Ranch,Desert Shadows Scott,Horizon School,69,69,10024,Detached,Conventional
5699,Community,N,910000,Chandler,3236,5,2016,4,3.5,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,8538,Detached,Conventional
5700,Private,N,870000,Scottsdale,3264,6,2006,3,3,2,2,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,5797,Detached,Conventional
5701,Private,N,795000,Chandler,4106,7,2001,5,3.5,2,2,CTA Liberty,Santan Junior High,Perry,80,80,9858,Detached,Conventional
5702,Community,N,775000,Chandler,2948,5,2017,4,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,5913,Detached,Cash
5704,None,N,757000,Scottsdale,3574,7,1981,4,3.5,2,2,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,10045,Detached,Conventional
5705,Private,N,755000,Chandler,3438,5,1999,5,3,2,2,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,10856,Detached,Conventional
5706,Private,N,725000,Tempe,2650,4,1966,3,3,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,11916,Detached,Conventional
5707,None,N,700000,Scottsdale,2236,4,1960,3,2.5,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,7106,Detached,Conventional
5708,Private,N,699000,Scottsdale,1879,4,1995,3,2,1,1,Desert Canyon,Desert Canyon Middle,Pinnacle Peak,69,69,6414,Detached,Conventional
5709,Private,N,640000,Chandler,2812,5,1993,4,3,2,2,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,213,6913,Detached,VA
5712,None,N,590000,Chandler,2345,5,2003,4,2.5,1,1,San Tan,San Tan,Chaparral High,80,80,8348,Detached,Conventional
5713,Private,N,578500,Tempe,1844,4,1973,3,1.75,1,1,Rover,Fees,Marcos De Niza,3,213,8120,Detached,VA
5714,None,N,572850,Scottsdale,1848,3,1985,3,2.5,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,8752,Detached,Conventional
5715,Both,N,549750,Chandler,2705,6,1989,4,3,2,2,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,213,5009,Detached,Cash
5716,None,N,545000,Scottsdale,1377,3,1961,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6959,Detached,Conventional
5718,None,N,485000,Chandler,1842,4,2003,4,2,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,7137,Detached,Cash
5719,Private,N,480000,Chandler,1470,3,1979,3,2,1,1,Summit School,Hendrix,Dobson,4,4,6913,Detached,Cash
5720,None,N,476000,Chandler,1729,3,1998,3,2,1,1,Sanborn,Willis,Chandler High,80,80,8512,Detached,Conventional
5721,None,N,460000,Chandler,1388,3,1978,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,7667,Detached,Other
5723,None,N,450000,Chandler,1233,3,1998,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,5502,Detached,Conventional
5725,None,N,425000,Chandler,1339,3,1985,3,2.5,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,4356,Detached,Conventional
5726,None,N,411250,Tempe,2073,4,1972,4,2,1,1,Fuller,Fees,McClintock,3,213,9888,Detached,Cash
5727,Community,N,410000,Chandler,1240,3,2001,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,80,213,6486,Detached,Conventional
5728,None,N,407000,Chandler,1395,3,1983,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,7318,Detached,Cash
5729,None,N,407000,Tempe,1295,3,1961,3,1.5,1,1,Holdeman,Gililland,Tempe High School,3,213,7998,Detached,Conventional
5730,None,N,389900,Chandler,1078,2,1988,2,2,1,1,Kyrene de la Paloma,Kyrene De La Paloma,Corona del Sol,28,213,4966,Detached,Conventional
5731,None,N,381000,Chandler,1070,2,1982,2,2,1,1,Sanborn,John M Andersen Jr H,Chandler High,80,80,4691,Detached,FHA
5732,None,N,360000,Chandler,1815,4,1960,3,2,1,1,Hartford Sylvia Enci,John M Andersen Jr H,Chandler High,80,80,8015,Detached,Conventional
5733,None,N,355000,Chandler,1378,3,1979,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,7318,Detached,Cash
5734,None,N,333000,Fountain Hills,1000,2,1986,2,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,4604,Detached,Conventional
5735,Community,N,325000,Chandler,1089,2,1994,2,2,1,1,Adult,Adult,Adult,80,80,3498,Detached,Conventional
5737,Private,N,1375000,Scottsdale,4278,5,1996,5,4.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,44353,Detached,Conventional
5738,Private,N,1350000,Scottsdale,1740,3,1959,3,2,1,1,Hopi,Ingleside,Arcadia High,48,48,12352,Detached,Cash
5740,None,N,1000000,Scottsdale,2524,4,2000,3,2.5,1,1,Griffith,Supai,Camelback High sch,31,210,10000,Detached,Cash
5741,Private,N,945000,Scottsdale,2105,4,1976,4,3,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,10883,Detached,Conventional
5742,Private,N,930000,Chandler,4308,7,2004,5,4.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,16027,Detached,Conventional
5743,Private,N,900000,Scottsdale,3197,4,1978,4,2.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,15058,Detached,Other
5744,Private,N,865000,Scottsdale,2320,5,1970,5,3,3,2,Pueblo,Mohave,Saguaro High,48,48,7916,Detached,Conventional
5745,None,Y,860000,Scottsdale,3036,4,2006,4,3,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,46444,Detached,Conventional
5746,None,N,835000,Chandler,3369,6,2011,5,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,12180,Detached,Conventional
5749,Private,N,787000,Scottsdale,2519,3,1981,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,7481,Attached,Cash
5750,Community,N,710000,Scottsdale,2160,3,1982,3,2.5,2,2,Cochise,Cocopah,Chaparral High,48,48,4526,Detached,Conventional
5751,Private,N,691000,Tempe,2537,4,1998,4,3,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,5807,Detached,Conventional
5752,None,N,670000,Chandler,2607,5,2004,4,2.5,1,1,Audrey and Robert Ry,Willie & Coy Payne J,Perry,80,80,10240,Detached,Conventional
5753,None,N,625000,Chandler,2758,4,2006,4,2.5,1,1,Haley Elementary,Santan Junior High,Perry,80,80,11012,Detached,Conventional
5754,None,N,609000,Scottsdale,1996,6,1983,5,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7091,Detached,Conventional
5755,Private,N,585000,Fountain Hills,1862,3,1994,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10062,Detached,Conventional
5756,Community,N,585000,Scottsdale,1649,3,1989,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Paradise Valley,69,69,4735,Detached,Other
5757,None,N,580000,Scottsdale,1783,4,1960,3,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,7383,Detached,Cash
5759,None,N,550000,Scottsdale,1302,3,1958,3,2,1,1,Pima,Tonalea,Coronado High,48,48,6984,Detached,Conventional
5760,Private,N,524900,Scottsdale,1659,4,1973,4,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,4802,Detached,Other
5761,None,N,505000,Tempe,2316,4,1973,4,3,1,1,Hudson,Connolly,McClintock,3,3,8220,Detached,Cash
5762,Private,N,500000,Chandler,1876,4,1997,4,3,2,2,Sanborn,Willis,Chaparral High,80,80,6813,Detached,Conventional
5763,None,N,478000,Chandler,1570,3,1986,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,6952,Detached,Conventional
5764,None,N,420000,Tempe,1721,3,1969,3,2,1,1,Curry,Connolly,McClintock,213,213,7606,Detached,Cash
5765,None,N,405000,Chandler,1385,4,1985,4,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,6826,Detached,Conventional
5767,None,N,380000,Chandler,2160,4,1956,4,1.75,1,1,Hartford Sylvia Enci,Arizona College Prep,Chandler High,80,80,7052,Detached,Other
5769,Private,N,1265000,Scottsdale,2824,4,1966,4,3,1,1,Pueblo,Mohave,Saguaro High,48,48,11132,Detached,Cash
5770,Private,N,1200000,Chandler,4042,5,2001,4,4.5,1,1,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,17189,Detached,Conventional
5771,Private,N,1000000,Fountain Hills,3362,5,1996,5,4,3,3,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,45673,Detached,Cash
5772,Private,N,905000,Chandler,3410,6,2012,5,3.5,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha High,80,80,10668,Detached,Conventional
5773,None,N,879900,Fountain Hills,2880,4,1974,3,3.5,2,2,Fountain Hills,Fountain Hills,Fountain Hills,98,98,44852,Detached,Conventional
5774,Community,N,825000,Chandler,3661,6,2013,4,4.5,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,3795,Detached,Conventional
5775,Private,N,779000,Scottsdale,1992,3,1976,3,2,1,1,Sandpiper,Desert Shadows,Horizon School,69,69,10062,Detached,Conventional
5776,Private,N,736500,Fountain Hills,2087,3,1994,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,12419,Detached,Conventional
5777,Private,N,710000,Scottsdale,2220,4,1977,4,2.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,10524,Detached,Other
5778,Community,N,665000,Chandler,3113,4,2002,4,2,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,11525,Detached,Conventional
5780,Private,N,625000,Scottsdale,2168,3,1988,3,2.5,2,2,North Ranch,Desert Shadows,Horizon,69,69,5548,Detached,Conventional
5781,None,N,585000,Scottsdale,1521,3,1984,3,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,6041,Detached,Conventional
5783,Private,N,550000,Chandler,2770,5,1996,4,2.5,2,2,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,5175,Detached,Conventional
5787,Private,N,465000,Chandler,1589,4,1982,4,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,7200,Detached,Conventional
5788,None,N,416000,Chandler,1280,3,1988,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,4609,Detached,Cash
5789,None,N,400000,Tempe,1563,3,1978,3,2,1,1,Carmichael Elem,Gililland,Tempe High School,3,3,10874,Detached,Conventional
5791,None,N,355000,Tempe,1597,3,1978,3,2,1,1,Terramar,Gililland,Tempe High School,3,213,6504,Detached,Cash
5793,None,N,335000,Chandler,1196,3,1983,3,2,2,2,Chandler Traditional,John M Andersen Jr H,Chandler High,80,80,4434,Detached,Cash
5795,Private,Y,1500000,Chandler,3754,6,1978,4,3.5,2,2,Hale,Santan Junior High,Perry,80,80,103934,Detached,Conventional
5796,Private,N,1450000,Scottsdale,2735,4,1978,3,3,2,2,Cochise,Cocopah,Chaparral High,48,48,7969,Detached,Other
5797,Private,N,1450000,Scottsdale,2235,4,1980,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,7319,Detached,Conventional
5798,Private,N,1275000,Scottsdale,3579,4,2004,4,4.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,10240,Detached,Cash
5799,Private,N,1250000,Scottsdale,3092,5,1985,5,4,1,1,Redfield Elementary,Mountainside,Desert Mountain High,48,48,27150,Detached,Conventional
5800,Private,N,1225000,Scottsdale,3331,7,1996,5,3,2,2,Grayhawk,Explorer,Pinnacle,69,69,9975,Detached,Conventional
5802,Private,N,1030000,Scottsdale,4274,6,1998,5,3,2,1,Copper Canyon,Explorer,Paradise Valley,69,69,9600,Detached,Cash
5803,Private,N,862500,Scottsdale,2421,4,1988,4,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,8809,Detached,Conventional
5804,Private,N,838500,Scottsdale,1775,3,1960,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,9864,Detached,Cash
5805,Private,N,800000,Chandler,3259,4,2001,4,2.5,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,12905,Detached,Conventional
5807,Private,N,735000,Scottsdale,2010,4,1989,4,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7008,Detached,Other
5809,Private,N,645000,Tempe,2175,4,1994,3,2,1,1,Kyrene del Norte,Kyrene Middle,Marcos De Niza,28,213,7510,Detached,Conventional
5810,Private,N,607500,Tempe,1660,3,1983,3,2,1,1,Laird,McKemy,McClintock,3,213,6142,Detached,VA
5812,None,N,600000,Scottsdale,1440,3,1987,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7500,Detached,Conventional
5813,Private,N,598000,Chandler,2397,4,1991,4,3,2,2,Hartford Sylvia Enci,John M Andersen Jr H,Chandler High,80,80,8185,Detached,Conventional
5814,Private,N,517000,Tempe,1776,3,1973,3,2,1,1,Kyrene del Norte,Kyrene Middle,Marcos De Niza,28,213,9313,Detached,Conventional
5815,None,N,515000,Chandler,2127,4,2005,3,2.5,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,9523,Detached,Conventional
5816,None,N,510000,Tempe,1500,3,1960,3,2,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,7579,Detached,Conventional
5817,Community,N,500000,Chandler,1821,4,1988,4,2,1,1,Kiva,Kyrene del Pueblo,Tempe High School,28,213,8499,Detached,Conventional
5818,None,N,460000,Chandler,1655,3,1995,3,2,1,1,Rudy G. Bologna,John M Andersen Jr H,Chandler High,80,80,5497,Detached,FHA
5819,None,N,440500,Chandler,1837,4,2001,3,2.5,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,3750,Detached,Cash
5820,None,N,440000,Chandler,1500,3,1994,3,2,1,1,Sanborn,Willis,Chandler High,80,80,7471,Detached,Cash
5821,Community,N,379000,Chandler,1344,3,2002,2,2,1,1,Adult,Adult,Adult,80,80,4275,Detached,Conventional
5822,None,N,335000,Chandler,1078,2,1981,2,2,1,1,Pomeroy,Summit Academy,Dobson,4,4,4880,Detached,Cash
5823,Private,N,1080000,Scottsdale,3141,5,1985,4,3,2,2,Sonoran Sky Scotts,Desert Shadows Scott,Horizon School,69,69,17443,Detached,Other
5825,Private,N,674000,Chandler,2356,4,2001,4,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,10819,Detached,Conventional
5826,Private,N,640000,Chandler,2818,6,2005,5,3,2,2,Navarrete,San Tan,Basha High,80,80,9315,Detached,Conventional
5827,None,N,625000,Tempe,1923,4,1961,3,3,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,8507,Detached,Conventional
5828,Private,N,620000,Scottsdale,1464,3,1972,3,2,1,1,Tonalea,Tonalea,Coronado,48,48,5246,Detached,Conventional
5829,Private,N,528000,Chandler,2049,4,2003,4,2,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,10576,Detached,Conventional
5830,Community,N,525000,Chandler,2271,5,2018,3,2.5,2,2,Frye,Bogle Junior High,Hamilton,80,80,3108,Detached,Conventional
5832,None,N,485000,Chandler,1385,3,1998,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,5497,Detached,Conventional
5833,Community,N,450000,Chandler,1516,3,2004,2,2,1,1,Adult,Adult,Adult,80,80,6500,Detached,Cash
5834,None,N,410000,Chandler,1216,3,1983,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,9574,Detached,Conventional
5835,None,N,405000,Chandler,1566,4,1971,3,1.75,1,1,Erie,John M Andersen Jr H,Chandler High,80,80,7044,Detached,Cash
5836,Community,N,400000,Chandler,1467,2,1995,2,2,1,1,Adult,Adult,Adult,80,80,6090,Detached,Conventional
5837,Both,N,1350000,Scottsdale,3794,7,2005,5,3.5,2,2,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,9438,Detached,Conventional
5838,Private,N,1140000,Scottsdale,3705,8,1998,5,2.5,2,2,Grayhawk,Mountain Trail,Pinnacle,69,69,9711,Detached,Cash
5843,Private,N,725000,Scottsdale,1815,3,1959,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,7512,Detached,VA
5845,Private,N,640000,Chandler,2697,5,1987,3,3,2,1,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,213,9252,Detached,Conventional
5847,Private,N,600000,Tempe,2281,5,1969,5,2,1,1,Curry,Connolly,McClintock,3,213,9474,Detached,Conventional
5848,None,N,440000,Chandler,1234,3,1993,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4744,Detached,Conventional
5849,Community,N,430000,Chandler,1339,3,1985,3,2.5,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,3,213,4953,Detached,Cash
5850,Private,N,361000,Tempe,1238,3,1979,3,2,1,1,O'Connor,Fees,Marcos De Niza,3,213,8891,Detached,Other
5851,Both,N,1462500,Scottsdale,3473,7,2014,5,4.5,2,2,Copper Ridge,Copper Ridge,Chaparral High,48,48,6600,Detached,Conventional
5852,Private,N,1405000,Scottsdale,4040,5,2001,4,4,1,1,Laguna,Mountainside,Desert Mountain High,48,48,43676,Detached,Conventional
5853,Private,N,1390000,Scottsdale,2728,5,1984,4,3,1,1,Copper Canyon,Explorer,Pinnacle,69,69,21136,Detached,Conventional
5855,Private,N,1372000,Scottsdale,3443,4,1977,4,3,2,2,Kiva,Mohave,Saguaro,48,48,15960,Detached,Cash
5856,Private,N,1310000,Scottsdale,2503,5,1975,4,2,1,1,Kiva,Mohave,Saguaro,48,48,10010,Detached,Conventional
5858,Private,N,1130000,Scottsdale,3321,5,1989,5,3,2,2,Desert Springs,Desert Shadows,Horizon,69,69,8000,Detached,Conventional
5859,Private,N,1125000,Scottsdale,3842,5,1981,4,2.5,2,2,Cochise,Cocopah,Chaparral High,48,48,10184,Detached,Conventional
5860,Private,N,1030000,Scottsdale,2581,4,1977,4,2.5,1,1,Pueblo,Mohave,Saguaro High,48,48,19164,Detached,Cash
5861,Private,N,935000,Scottsdale,2005,3,1983,3,2.5,1,1,North Ranch,Desert Shadows,Horizon School,69,69,8886,Detached,Conventional
5862,Community,N,875000,Scottsdale,2167,4,1997,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7870,Detached,Other
5863,Private,N,843000,Fountain Hills,2272,3,2000,2,2.5,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,8301,Detached,Conventional
5864,Private,Y,835000,Scottsdale,2303,4,1973,4,3,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,25265,Detached,Conventional
5865,Private,N,780000,Chandler,4069,5,1998,5,3,2,2,CTA Humphrey,Willis,Perry,80,80,11413,Detached,Conventional
5868,Private,N,715000,Scottsdale,1882,3,1984,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,8230,Detached,Conventional
5869,Private,N,710000,Scottsdale,2119,4,1992,4,2.5,2,2,Zuni Hills,Desert Canyon,Desert Mountain High,48,48,5248,Detached,Conventional
5871,Community,N,677250,Scottsdale,2624,4,1997,3,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7745,Detached,Cash
5872,Private,N,677000,Scottsdale,1854,4,1996,4,2,1,1,Desert Shadows,Desert Shadows,Horizon,69,69,6066,Detached,Conventional
5873,Private,N,670000,Chandler,2711,3,2005,3,2,1,1,John & Carol Carlson,Santan Junior High,Perry,80,80,10125,Detached,Conventional
5875,Private,N,650000,Scottsdale,1517,3,1985,3,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,8909,Detached,Conventional
5876,Private,N,650000,Scottsdale,1720,3,1991,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,5248,Detached,Cash
5877,None,N,650000,Scottsdale,1914,3,1995,3,2,1,1,Aztec Elementary Sch,Desert Canyon Middle,Desert Mountain High,48,48,7324,Detached,Conventional
5878,None,N,645000,Scottsdale,1795,3,1999,3,2,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,6000,Detached,Conventional
5879,None,N,639900,Scottsdale,1369,3,1981,3,2,1,1,Redfield Elementary,Desert Canyon,Desert Mountain,48,48,8563,Detached,Conventional
5880,None,N,615000,Chandler,2741,5,1999,4,3.5,2,2,Rudy G. Bologna,Willis,Perry,80,80,7871,Detached,Select One
5881,None,N,610000,Chandler,2687,5,2002,5,2.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,7200,Detached,Conventional
5883,Community,N,575500,Chandler,2090,4,1985,4,2,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,14552,Detached,Conventional
5884,Private,N,566000,Chandler,2186,4,1989,4,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7871,Detached,Cash
5887,None,N,542000,Chandler,1691,3,2013,3,2,1,1,Basha Elementary Sch,Santan Junior High,Hamilton,80,80,4623,Detached,Conventional
5888,None,N,530000,Chandler,2285,5,1997,5,3,1,1,Sanborn,Willis,Chandler High,80,80,7157,Detached,Conventional
5889,None,N,504000,Tempe,2380,4,1969,4,2,1,1,Hudson,Connolly,McClintock,3,213,7928,Detached,Cash
5890,Private,N,495800,Chandler,1656,3,1980,3,2,1,1,Knox,John M Andersen Jr H,Chandler High,80,80,7396,Detached,Conventional
5891,Private,N,495000,Chandler,1482,3,1996,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,6991,Detached,Conventional
5892,None,N,465000,Chandler,1273,3,1987,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,10742,Detached,VA
5894,None,N,462000,Chandler,1516,3,1982,3,2,1,1,Pomeroy,Summit Academy,Dobson,4,4,9740,Detached,Conventional
5895,Community,N,459000,Chandler,1680,3,2004,2,2,1,1,Adult,Adult,Adult,80,80,6175,Detached,Conventional
5896,None,N,450000,Tempe,1260,3,1960,3,2,1,1,Holdeman,Gililland,Tempe High School,3,3,6203,Detached,FHA
5897,Private,N,445000,Chandler,2018,5,1973,5,3,1,1,Hartford Sylvia Enci,Arizona College PEC,Chandler High,80,80,6681,Detached,Conventional
5898,Community,N,435000,Chandler,1594,3,1996,3,2,1,1,Rudy G. Bologna,Willis,Hamilton,80,80,5728,Detached,Cash
5900,None,N,425000,Tempe,1652,4,1974,4,2,1,1,Fuller,Fees,Marcos De Niza,210,210,7353,Detached,Other
5901,None,N,380000,Chandler,1196,4,1975,4,2,1,1,Galveston,Willis,Chandler High,80,80,7780,Detached,FHA
5902,None,N,380000,Tempe,1288,3,1960,3,2,1,1,Broadmor Elementary,McKemy,Tempe High School,3,213,8050,Detached,Conventional
5903,Private,Y,1475000,Scottsdale,3052,4,1970,4,3.5,1,1,Sandpiper,Desert Shadows,Horizon School,69,69,24636,Detached,Conventional
5904,Private,N,1450000,Scottsdale,3159,5,1981,4,2.5,1,1,Cochise,Cocopah,Chaparral High,48,48,13112,Detached,Conventional
5905,Private,N,1250000,Scottsdale,2761,5,1977,4,2.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,19354,Detached,Conventional
5906,Both,N,1210000,Scottsdale,2253,4,2016,3,2.5,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,6575,Detached,Cash
5907,Private,N,962500,Scottsdale,2818,4,1997,4,3,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,16152,Detached,Conventional
5908,Private,N,900000,Fountain Hills,2913,5,1999,3,2.5,2,2,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,11752,Detached,Conventional
5909,None,N,886000,Scottsdale,2090,3,1996,2,2.5,1,1,Horseshoe Trails,Sonoran Trails,Cactus Shadows,93,93,6528,Detached,Other
5910,Private,N,872500,Fountain Hills,2283,3,1998,3,2.5,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,21422,Detached,Cash
5911,Private,N,850000,Chandler,3405,5,2004,4,2.5,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,17999,Detached,Conventional
5912,Private,N,820000,Fountain Hills,2025,3,1999,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills,Fountain Hills,98,98,7588,Detached,Conventional
